	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrps18a	922.793969681506	-0.623353953272878	0.28484426204015	-2.18840270401871	0.0286402814953275	0.121282499626966
Uckl1	436.115176174214	0.877054464987819	0.400800492194293	2.1882569559387	0.0286508904092122	0.121288525333146
Gm8234	31.5286241221953	4.03306168214784	1.84350582331422	2.18771301459589	0.0286905134569091	0.121394215942196
Ppp2ca	8020.03762150357	-0.232049352053134	0.106067000973237	-2.18776197991763	0.0286869446787059	0.121394215942196
Diaph2	532.082300427737	0.741931691376564	0.339180842390249	2.18742216142893	0.0287117198191756	0.121452921043065
Pdlim5	2007.76770292436	0.40416572393204	0.18480776974417	2.18695201230732	0.0287460273514579	0.121567001040822
Wdr77	2293.36204302849	-0.366448978111669	0.167616940237898	-2.18622877611039	0.0287988719663335	0.121759396151688
Usp50	27.4816739379036	3.97129927681376	1.81705910369551	2.1855641727542	0.028847506187594	0.121933896401504
Tmem159	338.057490055169	1.0136665852574	0.463984594753628	2.18469879543231	0.028910938575791	0.122108540925032
Epn2	1666.91199511544	0.423376292036506	0.193783297541231	2.18479248422546	0.028904065371112	0.122108540925032
Ptdss1	1586.39958555488	0.436132807972677	0.199622641926444	2.18478627355999	0.0289045209549064	0.122108540925032
Lrsam1	737.939196643215	0.66570236510163	0.304800163173166	2.18406170840343	0.0289577139296816	0.122274925119851
Dhh	56.3644735479893	2.7511213089328	1.2598955358245	2.18361064922134	0.0289908703710136	0.122383732848074
Itm2a	612.862488637414	0.69910298404693	0.32019773663732	2.18334767568575	0.0290102160954126	0.122403013148372
Adh7	13.0406395059479	5.10614537901202	2.3386662796984	2.18335784944508	0.0290094674532808	0.122403013148372
Asb16	23.3749215528148	-4.34026974124519	1.98813646330633	-2.18308442169367	0.0290295935802385	0.122453582290973
Dlc1	6841.7936097063	0.225779615038573	0.103443241554081	2.18264249695359	0.0290621476318125	0.122559693360737
Srsf4	1418.33513128632	-0.506555307517271	0.232117236734765	-2.18232525357908	0.0290855364944289	0.122564719417506
Pgam5	1406.22482142327	-0.561508067941013	0.257295569868979	-2.18234642837786	0.0290839748716492	0.122564719417506
Cilp2	35.5416895213933	-3.03124489284917	1.38897544244764	-2.18236032129376	0.0290829503205303	0.122564719417506
Blzf1	816.111501043345	0.843933654499743	0.386883219217014	2.18136536448317	0.0291564032950979	0.122813115135422
Ctnnd2	242.306051737669	-1.2066775211141	0.553185313157992	-2.18132602658138	0.0291593107049572	0.122813115135422
Rest	4254.34664345576	-0.27074986066033	0.124180437902342	-2.18029397571664	0.0292356773422276	0.123103455814438
Prex2	1043.15345722885	0.528977311456467	0.242705553935821	2.1795022935336	0.0292943744722824	0.123275833211699
Dll4	370.474871733789	1.18249603480345	0.542545131803863	2.17953487274297	0.029291956976132	0.123275833211699
0610039H22Rik	11.1397691047497	-6.50335486852692	2.98395578542843	-2.17944076124881	0.0292989408605167	0.123275833211699
Cox20	11.0913060539045	-6.49712751983226	2.98174228402046	-2.17897017949915	0.0293338835800278	0.123391513840315
Ctps2	1103.16719812041	0.572967527349967	0.262984224174106	2.17871444247028	0.0293528881872479	0.123424748781433
Dusp15	157.076085147059	1.37568792089532	0.631437207886973	2.17866147846892	0.0293568254293196	0.123424748781433
Pfn3	14.4199460220877	7.73033985137409	3.54836622766918	2.1785631345195	0.0293641373345988	0.123424748781433
Itgb6	119.09245637615	1.53994955888698	0.706955711511557	2.17828293033291	0.0293849792011929	0.123481019905571
Flt3	11.1640006301724	-6.50645884294317	2.98733380572916	-2.17801533610505	0.0294048950053092	0.123533371991617
Sepsecs	666.143245701084	0.653607172321815	0.300203197144837	2.17721589422804	0.029464462956262	0.12372714791505
Gm15787	11.0670745284818	-6.49400398390288	2.98277699069925	-2.17716711780739	0.0294681007385471	0.12372714791505
Cfap46	11.2663563348061	-6.51996416464927	2.9947990569844	-2.17709570511703	0.0294734274477989	0.12372714791505
Smpd2	784.802634446927	0.635756354711233	0.292052990592051	2.17685274655954	0.0294915560541145	0.123771883971727
Cdc27	3995.93139935365	-0.342695737515245	0.157495739168927	-2.17590481700382	0.0295623785492075	0.124019276729423
Pum2	8403.43503627232	-0.233643992782395	0.107379899678664	-2.17586339232555	0.029565476836975	0.124019276729423
Dnm1l	3369.17927147954	-0.300779832247057	0.138249215349768	-2.17563500440917	0.0295825637344323	0.124059536268575
Alox12	80.6257567657344	1.90235379410336	0.874497402513792	2.17536814704644	0.029602539491648	0.124111887289079
Slc5a6	323.051721113791	-1.04360072248316	0.47976080803938	-2.17525213605505	0.0296112271764557	0.124116897312244
U90926	17.9290826699193	3.91359382639147	1.79946529001625	2.17486486019196	0.0296402448825644	0.12420709751573
Hic2	1439.52560887833	-0.744330843032614	0.342350118295307	-2.17418018354696	0.0296916059938769	0.124390858191343
Cyb5rl	334.342523087858	1.02688801541774	0.472335626951065	2.17406428146511	0.0297003079741824	0.124395853752802
Arg1	155.387181476436	-1.40687931018049	0.647239683849866	-2.17366046193613	0.0297306440593895	0.124491435501463
Chd4	28608.2091352415	-0.12007342202003	0.0552700437957304	-2.17248646416498	0.0298189895206417	0.124798272210569
Hotair	57.353831243757	2.59144076665674	1.19284045675864	2.17249570298661	0.0298182934024086	0.124798272210569
Tmem220	78.4633114930408	2.05978844391744	0.948454283090776	2.1717319228135	0.0298758891965041	0.125004825597396
Slc1a4	452.178429063014	-1.26820794080647	0.584066819232762	-2.17134050256854	0.0299054428001638	0.125096883834524
Ubr4	11413.1032687618	-0.19071363594494	0.0878421806321917	-2.17109405267939	0.0299240635232844	0.125111588153258
Kcnn2	102.883914055577	1.63941313547786	0.755089497191567	2.17115075971178	0.0299197780944393	0.125111588153258
Elf1	1433.7945574213	0.456265883818532	0.210181321460295	2.17082032146574	0.0299447571912426	0.125166515991152
Nom1	1186.79447090934	-0.511004024090575	0.23541960671716	-2.17060945439651	0.0299607068115409	0.125201591405947
Slc1a5	905.725500487043	-0.558734384808832	0.25747536086082	-2.17004991444933	0.0300030648472971	0.125315372969107
Misp	239.617559020704	1.40904564641746	0.649310394218973	2.17006482410056	0.0300019354965684	0.125315372969107
Dnah8	109.569033058295	1.60838290231421	0.741373655185294	2.16946325387327	0.0300475312229774	0.125469461736481
Adgrg3	191.975934410488	1.70610217306713	0.786989577504083	2.16788407602295	0.0301675077292217	0.125938700991572
Gimap3	30.4710136230729	3.80812156143449	1.75676579660297	2.16768881133626	0.0301823713345025	0.125969005078366
Snord37	11.4756673807826	-6.54604049419085	3.02000156503331	-2.16756195426629	0.0301920311038332	0.125977580663727
Lincred1	46.7770874198754	3.04143180600747	1.40428456813277	2.16582299273683	0.0303247156353723	0.126499348904544
2700038G22Rik	126.659715147783	-1.7200709398766	0.794284415267233	-2.1655604803701	0.0303447890543576	0.126551216184651
Zfp41	1092.62122187555	-0.542823543657958	0.250751266237021	-2.16478884355806	0.0304038595793586	0.126765651631532
